1376,4
1517,7
1729,4
1870,4
2221,5
2362,6
2584,6
299,20
2012,21
798,23
1164,23
2506,27
437,31
1645,29
2151,32
934,37
1311,37
1794,38
81,38
578,41
1441,44
2294,46
227,48
1930,49
1081,52
2435,56
722,54
1578,58
2077,61
363,63
864,64
1721,72
15,72
2569,74
505,78
1366,78
2215,77
149,84
1006,85
642,89
1863,88
1504,92
2357,93
2000,96
782,100
291,100
1149,102
2497,105
1644,107
2142,107
428,112
929,114
1297,113
74,118
1786,124
575,129
2281,129
216,131
1430,133
1925,135
1073,135
714,136
1573,141
2426,144
1209,147
355,148
2069,152
7,153
1711,154
494,157
852,156
1354,158
2561,158
2205,162
139,165
995,168
1853,169
636,174
2349,179
1497,179
283,182
1993,183
776,186
1633,188
2494,189
1142,190
1283,194
421,196
2138,197
919,198
1777,203
1425,211
2273,212
1918,213
562,212
1062,220
2416,221
705,220
1562,224
1205,228
2055,230
4,234
1703,235
848,238
2554,239
2197,241
1350,243
987,251
2334,253
134,252
1843,252
1488,256
1990,259
274,263
1131,263
2482,268
1626,272
412,277
1281,279
56,282
2132,282
1769,287
553,288
2263,291
1416,293
1908,300
699,301
202,301
2405,303
1551,304
2051,310
340,311
844,317
1696,318
2548,318
480,322
4,323
2194,328
978,330
1837,334
2329,339
619,337
270,341
1971,341
1122,346
2473,347
760,350
407,358
2116,360
1270,361
904,361
52,365
546,371
1410,373
2257,375
1051,378
187,382
1545,385
686,387
335,391
1191,394
834,398
1688,399
2543,403
470,405
973,409
1338,409
1835,415
116,417
613,419
1468,424
1972,428
260,430
754,430
1118,430
1615,434
2113,441
399,442
1265,442
897,445
2250,451
535,453
1754,453
1041,459
1402,459
1899,464
678,467
2402,467
1541,469
1181,473
2035,473
323,475
2537,478
831,483
1680,485
462,487
1326,490
2176,491
962,493
113,497
2314,499
601,500
1466,502
1824,501
1108,509
1963,510
250,511
735,515
2458,516
1607,517
1252,521
2104,523
392,523
889,528
1747,532
30,531
1393,535
532,538
2242,539
1036,540
174,543
1889,545
2385,547
668,549
1177,553
1528,554
316,557
2026,556
1669,562
816,564
2528,564
455,568
2170,569
1317,570
109,576
955,580
1813,578
1461,582
595,583
2305,588
1102,589
1953,595
241,596
2449,597
1593,599
729,603
381,605
1243,605
2091,607
25,612
882,612
1734,614
523,618
1385,618
2231,619
165,622
1878,627
1020,626
662,634
2370,633
304,638
1168,640
